// File: aSPaa4.txt
// Data file for SeaPort projects
// Date: Sat Mar 24 20:19:07 EDT 2018
// parameters: 3 4 5 4 3 4
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Tecate 10007 0
port Krasnodar 10006 0
port Honiara 10005 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_31 20031 10005 30023
  dock Pier_34 20034 10006 30027
  dock Pier_33 20033 10006 30026
  dock Pier_35 20035 10006 30028
  dock Pier_38 20038 10007 30032
  dock Pier_36 20036 10006 30029
  dock Pier_30 20030 10005 30022
  dock Pier_39 20039 10007 30033
  dock Pier_40 20040 10007 30034
  dock Pier_37 20037 10007 30031
  dock Pier_29 20029 10005 30021
  dock Pier_32 20032 10005 30024

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    job         Job_89_11_57 60093 30031 40.89 crew inspector mechanic inspector
    job         Job_96_83_58 60074 30029 40.60
    job         Job_67_71_65 60044 30023 114.09 stevedore mechanic mate
    job         Job_10_15_76 60116 40034 102.33 craneOperator
    job         Job_12_43_83 60063 40026 83.07 engineer
    job         Job_90_63_33 60065 30026 108.30
    job         Job_55_68_56 60064 30026 64.59 stevedore
    job         Job_77_88_28 60084 40028 36.51
    job         Job_83_76_57 60041 30022 86.27 clerk driver
    job         Job_27_44_74 60112 40033 75.28 painter engineer janitor mechanic
    job         Job_51_69_71 60037 30021 100.54 cleaner electrician
    job         Job_73_88_58 60050 30025 96.46 captain
    job         Job_55_91_76 60094 30032 39.47 captain captain
    job         Job_68_67_88 60042 30022 43.17 clerk engineer
    job         Job_57_13_41 60045 30023 59.88 clerk
    job         Job_26_81_75 60053 40023 69.71 captain cleaner
    job         Job_38_53_35 60062 40026 55.64 stevedore
    job         Job_63_37_47 60070 30028 101.27 stevedore
    job         Job_70_16_56 60090 40030 23.55 craneOperator
    job         Job_54_72_54 60051 30025 76.87 clerk stevedore
    job         Job_70_57_49 60056 40024 72.32 driver
    job         Job_67_48_86 60108 40031 119.07 clerk
    job         Job_77_27_57 60087 40029 115.11
    job         Job_48_11_10 60114 40033 29.21
    job         Job_13_60_13 60095 30032 104.83 crew craneOperator mechanic
    job         Job_89_92_77 60104 30035 54.56 stevedore janitor
    job         Job_27_31_77 60088 40030 62.69 painter engineer
    job         Job_40_74_53 60076 30030 68.51
    job         Job_61_97_61 60060 40025 68.86 captain craneOperator
    job         Job_72_27_34 60109 40032 48.53
    job         Job_67_55_28 60097 30033 93.56 craneOperator crew
    job         Job_11_75_82 60080 40027 93.16 inspector painter driver
    job         Job_39_75_37 60072 30028 115.97 driver
    job         Job_20_30_62 60040 30022 20.39 engineer
    job         Job_26_30_39 60055 40024 73.83
    job         Job_86_72_89 60081 40027 111.96
    job         Job_22_70_71 60077 30030 100.10 cleaner craneOperator
    job         Job_29_27_17 60079 40027 119.28 engineer
    job         Job_63_28_59 60089 40030 46.81 janitor
    job         Job_30_52_23 60048 30024 91.73
    job         Job_31_20_35 60117 40034 43.75 stevedore crew
    job         Job_35_75_69 60102 30034 92.31 craneOperator stevedore
